1,DVAT Mine Nadia,Dust,2075.45,96.99,12883.84,5.5,_,26952478.6
2,DP Lvivuhillia,Dust,70.968,96.99,12883.84,5.5,_,921613.8674
3,AT DTEK Zahidenergo,Dust,3894.933,96.99,12883.84,5.5,_,50580885.27
4,DVAT Mine Nadia,Sulfur Dioxide,15.654,5376.59,369.52,56.32,_,90831.23922
5,DP Lvivuhillia,Sulfur Dioxide,38.444,5376.59,369.52,56.32,_,223068.6189
6,AT DTEK Zahidenergo,Sulfur Dioxide,18846.688,5376.59,369.52,56.32,_,109356587.9
7,DVAT Mine Nadia,Carbon Dioxide,5.426,96.99,5156.8,56.32,_,28812.65686
8,DP Lvivuhillia,Carbon Dioxide,11.427,96.99,5156.8,56.32,_,60678.62697
9,AT DTEK Zahidenergo,Carbon Dioxide,269.801,96.99,5156.8,56.32,_,1432672.988
10,DVAT Mine Nadia,Nitrogen Dioxide,2.125,2574.43,1108.56,56.32,_,7946.03375
11,DP Lvivuhillia,Nitrogen Dioxide,6.732,2574.43,1108.56,56.32,_,25173.03492
12,AT DTEK Zahidenergo,Nitrogen Dioxide,3501.917,2574.43,1108.56,56.32,_,13094753.26
13,DVAT Mine Nadia,Formaldehyde,0.57,69113.38,10297.44,1546.22,_,46145.5128
14,DP Lvivuhillia,Formaldehyde,0.26,69113.38,10297.44,1546.22,_,21048.8304
15,AT DTEK Zahidenergo,Formaldehyde,413.538,69113.38,10297.44,1546.22,_,33478812.41
